VALUE,COUNT,COUNTRY,ADMIN1,POP2013,TOT_0_4,TOT_5_9,TOT_10_14,TOT_15_19,TOT_20_24,TOT_25_29,TOT_30_34,TOT_35_39,TOT_40_44,TOT_45_49,TOT_50_54,TOT_55_59,TOT_60_64,TOT_65_69,TOT_70_74,TOT_75_79,TOT_80PLUS,MALE,MAL_0_4,MAL_5_9,MAL_10_14,MAL_15_19,MAL_20_24,MAL_25_29,MAL_30_34,MAL_35_39,MAL_40_44,MAL_45_49,MAL_50_54,MAL_55_59,MAL_60_64,MAL_65_69,MAL_70_74,MAL_75_79,MAL_80PLUS,FEMALE,FEM_0_4,FEM_5_9,FEM_10_14,FEM_15_19,FEM_20_24,FEM_25_29,FEM_30_34,FEM_35_39,FEM_40_44,FEM_45_49,FEM_50_54,FEM_55_59,FEM_60_64,FEM_65_69,FEM_70_74,FEM_75_79,FEM_80PLUS
"2,379","18,662",Sierra Leone,Eastern,"1,342,908",0.143559166,0.149282795,0.126711082,0.104297117,0.081803356,0.076932876,0.06589857,0.056149007,0.045253707,0.038250353,0.031596583,0.024035528,0.020187583,0.016406037,0.012003929,0.00812502,0.006494217,0.507097056,0.071131727,0.073844566,0.062472695,0.052170783,0.040669828,0.039462856,0.034685786,0.029897191,0.023350889,0.020113912,0.016212108,0.012606592,0.009950738,0.008003479,0.00591376,0.003854392,0.002755756,0.499889871,0.072427439,0.075438229,0.064238387,0.052126334,0.041133528,0.037470021,0.031212784,0.026251816,0.021902818,0.018136441,0.015384476,0.011428936,0.010236845,0.008402559,0.006090169,0.004270629,0.003738462
"2,380","42,525",Sierra Leone,Northern,"1,943,048",0.150147687,0.168950204,0.139806967,0.101764974,0.070615662,0.061296435,0.054804125,0.048609081,0.043267201,0.038327218,0.032858357,0.028013744,0.023799719,0.017657256,0.012647736,0.008109894,0.006712268,0.480533397,0.07603764,0.085670939,0.07085236,0.049873693,0.032463458,0.026769779,0.02386872,0.021383712,0.01900684,0.017443747,0.014515926,0.01170315,0.010518422,0.008029971,0.005721036,0.003653055,0.003020949,0.52685513,0.074110047,0.083279265,0.068954608,0.051891281,0.038152203,0.034526656,0.030935405,0.027225369,0.024260361,0.020883472,0.018342431,0.016310594,0.013281296,0.009627285,0.0069267,0.004456839,0.003691319
"2,381","23,886",Sierra Leone,Southern,"1,251,388",0.147504619,0.14884202,0.12952659,0.101998031,0.077237827,0.066442123,0.058092665,0.053063692,0.045759371,0.038960359,0.033503298,0.028967317,0.024236908,0.020273285,0.014927423,0.009686904,0.008042002,0.487229292,0.074319197,0.075382829,0.065196601,0.050576688,0.036685649,0.030909031,0.027265282,0.025094374,0.02204291,0.018246949,0.015307822,0.01328555,0.010736134,0.008765357,0.006304642,0.004015532,0.003094746,0.519835143,0.073185423,0.073459191,0.064329989,0.051421344,0.040552177,0.035533091,0.030827383,0.027969318,0.023716462,0.02071341,0.018195476,0.015681767,0.013500774,0.011507928,0.008622781,0.005671372,0.004947256
"2,382",825,Sierra Leone,Western Area,"1,075,341",0.112472115,0.126227207,0.144613925,0.117741438,0.106396688,0.086822158,0.069221097,0.052971861,0.045616659,0.037319665,0.031174948,0.026515839,0.018213861,0.013259849,0.008775044,0.005486573,0.003421451,0.513419641,0.058378315,0.062638848,0.06843753,0.057653482,0.05707654,0.048143432,0.037429651,0.027825053,0.02433269,0.018676314,0.016271426,0.013988583,0.009329796,0.00618556,0.00372584,0.002152918,0.001173661,0.492830735,0.0540938,0.063588358,0.076176395,0.060087956,0.049320148,0.038678727,0.031791445,0.025146808,0.021283969,0.018643351,0.014903522,0.012527256,0.008884065,0.007074288,0.005049204,0.003333655,0.002247789
"1,086","51,592",Guinea,Basse Guinee,"2,280,959",0.134635614,0.143658677,0.125857936,0.108285369,0.091934607,0.077782143,0.065537501,0.055015996,0.046283307,0.038815637,0.032196343,0.026156375,0.020968506,0.016159509,0.011628226,0.007510937,0.004845407,0.504124273,0.067383065,0.071898971,0.062989972,0.054195171,0.046011864,0.038928773,0.032800517,0.027534664,0.023164087,0.019426633,0.016113777,0.013090865,0.010494416,0.008087587,0.005819749,0.003759109,0.002425052,0.503147818,0.067252549,0.071759707,0.062867964,0.054090198,0.045922742,0.03885337,0.032736984,0.027481332,0.02311922,0.019389005,0.016082566,0.01306551,0.01047409,0.008071922,0.005808477,0.003751828,0.002420355
"1,087",533,Guinea,Conakry,"1,706,817",0.134636507,0.14365904,0.12585757,0.108285107,0.091934479,0.077781407,0.065537148,0.055015732,0.04628323,0.038816077,0.032196662,0.026156623,0.020968651,0.016159824,0.01162785,0.007510643,0.004845548,0.504123403,0.067383395,0.071899028,0.06298968,0.054194945,0.04601172,0.038928337,0.032800283,0.027534484,0.023164009,0.019426819,0.016113909,0.013090967,0.010494471,0.008087731,0.005819551,0.003758956,0.002425119,0.503148694,0.067253111,0.071760013,0.06286789,0.054090161,0.045922758,0.03885307,0.032736865,0.027481247,0.023119222,0.019389258,0.016082753,0.013065656,0.01047418,0.008072093,0.005808299,0.003751687,0.00242043
"1,088","50,417",Guinea,Guinee Forestiere,"2,429,259",0.134636076,0.143659115,0.125858289,0.108285339,0.091934149,0.077782208,0.065537291,0.055015755,0.046283402,0.03881572,0.03219629,0.026156334,0.020968009,0.016159192,0.011628313,0.007511046,0.004845559,0.50412329,0.067383165,0.07189905,0.062990026,0.05419505,0.046011545,0.038928729,0.032800348,0.02753449,0.02316409,0.019426637,0.016113719,0.01309082,0.010494147,0.008087413,0.005819781,0.003759156,0.002425123,0.503148798,0.067252911,0.071760066,0.062868263,0.054090289,0.045922604,0.038853478,0.032736944,0.027481265,0.023119312,0.019389083,0.01608257,0.013065515,0.010473862,0.008071779,0.005808531,0.00375189,0.002420436
"1,089","120,960",Guinea,Haute Guinee,"2,198,432",0.134635744,0.143659038,0.125858135,0.108285606,0.091934648,0.077781505,0.06553724,0.055016014,0.046283312,0.038815607,0.032196103,0.026156333,0.020968479,0.016159658,0.011628167,0.007511018,0.004845482,0.504123376,0.06738301,0.071899023,0.06298996,0.054195193,0.046011803,0.038928384,0.032800328,0.027534624,0.023164049,0.019426583,0.016113629,0.013090821,0.010494384,0.008087648,0.005819709,0.003759143,0.002425086,0.50314871,0.067252733,0.071760015,0.062868175,0.054090412,0.045922845,0.038853121,0.032736912,0.027481389,0.023119264,0.019389024,0.016082475,0.013065512,0.010474094,0.00807201,0.005808457,0.003751875,0.002420397
"1,090","67,971",Guinea,Moyenne Guinee,"2,560,559",0.134635972,0.1436589,0.125857922,0.10828517,0.091934485,0.077782172,0.065537325,0.055015655,0.046283336,0.038815964,0.032196546,0.026156532,0.02096857,0.016159506,0.011628033,0.007510809,0.004845246,0.50412447,0.067383267,0.071899106,0.062989986,0.05419509,0.046011819,0.0389288,0.03280044,0.027534503,0.02316411,0.019426803,0.016113884,0.013090949,0.010494452,0.008087589,0.005819655,0.003759046,0.002424973,0.503147671,0.067252705,0.071759794,0.062867936,0.05409008,0.045922666,0.038853372,0.032736885,0.027481152,0.023119226,0.019389161,0.016082661,0.013065584,0.010474118,0.008071917,0.005808378,0.003751763,0.002420274
"1,508","2,231",Liberia,Bomi,"93,806",0.137570336,0.149172907,0.132484908,0.100044847,0.087078468,0.082684072,0.070195195,0.055497822,0.04484465,0.036824898,0.030658232,0.025406159,0.02029573,0.015179218,0.010243452,0.006065865,0.003394209,0.502860298,0.068654077,0.074444306,0.066116208,0.04992709,0.043456256,0.041263246,0.035030708,0.027696027,0.022379592,0.018377358,0.015299902,0.01267887,0.010128525,0.007575145,0.005111965,0.003027152,0.00169387,0.504780669,0.068916259,0.074728601,0.066368699,0.050117757,0.043622212,0.041420826,0.035164486,0.027801795,0.022465058,0.01844754,0.01535833,0.012727289,0.010167205,0.007604073,0.005131487,0.003038713,0.001700339
"1,509","10,214",Liberia,Bong,"376,113",0.13757085,0.149172851,0.132485478,0.100043991,0.087072901,0.082682271,0.070192432,0.055501045,0.044852111,0.036828758,0.030655954,0.025405772,0.020297982,0.015175995,0.010244515,0.006063788,0.003394105,0.502865735,0.068655087,0.074445096,0.066117219,0.049927211,0.043453955,0.0412628,0.035029714,0.02769794,0.022383561,0.018379486,0.015298933,0.012678816,0.01012976,0.00757362,0.005112552,0.00302615,0.001693837,0.504775064,0.068915763,0.074727756,0.066368259,0.05011678,0.043618946,0.041419471,0.035162718,0.027803106,0.02246855,0.018449271,0.015357021,0.012726956,0.010168222,0.007602375,0.005131963,0.003037638,0.001700268
"1,510","11,572",Liberia,Gbarpolu,"95,775",0.137571496,0.149171049,0.132476904,0.100045478,0.087072909,0.082691411,0.070197589,0.05549642,0.04484652,0.036830371,0.030654314,0.025402134,0.020299749,0.015179065,0.010249029,0.006064136,0.003392938,0.50284395,0.068652386,0.074440918,0.066110029,0.049925755,0.043452047,0.041265545,0.035030745,0.027694412,0.022379786,0.018379482,0.015297441,0.012676442,0.010130197,0.007574818,0.005114578,0.003026189,0.00169318,0.504797563,0.06891911,0.074730132,0.066366875,0.050119723,0.043620862,0.041425866,0.035166844,0.027802008,0.022466734,0.018450889,0.015356873,0.012725692,0.010169553,0.007604248,0.00513445,0.003037947,0.001699758
