,Liberia,Liberia,Liberia,Liberia,,,,
,Situation report,Situation report,Patient database,Patient database,,,,
,New,New,New,New,,,,
Epi week,Confirmed,Probable,Confirmed,Probable,Total Confirmed,,Days since January 5th,Total Cases
30 December 2013 to 05 January 2014 (2014-W01),,,,,0,0,0,0
06 to 12 January 2014 (2014-W02),,,,,0,0,7,0
13 to 19 January 2014 (2014-W03),,,,,0,0,14,0
20 to 26 January 2014 (2014-W04),,,,,0,0,21,0
27 January to 02 February 2014 (2014-W05),,,,,0,0,28,0
03 to 09 February 2014 (2014-W06),,,,,0,0,35,0
10 to 16 February 2014 (2014-W07),,,,,0,0,42,0
17 to 23 February 2014 (2014-W08),,,,,0,0,49,0
24 February to 02 March 2014 (2014-W09),,,,,0,0,56,0
03 to 09 March 2014 (2014-W10),,,,,0,0,63,0
10 to 16 March 2014 (2014-W11),,,,,0,0,70,0
17 to 23 March 2014 (2014-W12),,,1,,1,0,77,1
24 to 30 March 2014 (2014-W13),,,1,,2,0,84,2
31 March to 06 April 2014 (2014-W14),,,2,1,4,1,91,5
07 to 13 April 2014 (2014-W15),,,,1,4,2,98,6
14 to 20 April 2014 (2014-W16),,,,1,4,3,105,7
21 to 27 April 2014 (2014-W17),,,,,4,3,112,7
28 April to 04 May 2014 (2014-W18),,,1,,5,3,119,8
05 to 11 May 2014 (2014-W19),,,4,,9,3,126,12
12 to 18 May 2014 (2014-W20),,,,,9,3,133,12
19 to 25 May 2014 (2014-W21),,,1,,10,3,140,13
26 May to 01 June 2014 (2014-W22),,,,,10,3,147,13
02 to 08 June 2014 (2014-W23),,,3,,13,3,154,16
09 to 15 June 2014 (2014-W24),,,17,1,30,4,161,34
16 to 22 June 2014 (2014-W25),,,28,1,58,5,168,63
23 to 29 June 2014 (2014-W26),,,28,,86,5,175,91
30 June to 06 July 2014 (2014-W27),,,22,4,108,9,182,117
07 to 13 July 2014 (2014-W28),,,34,5,142,14,189,156
14 to 20 July 2014 (2014-W29),,,28,9,170,23,196,193
21 to 27 July 2014 (2014-W30),,,88,5,258,28,203,286
28 July to 03 August 2014 (2014-W31),,,85,24,343,52,210,395
04 to 10 August 2014 (2014-W32),,,166,66,509,118,217,627
11 to 17 August 2014 (2014-W33),,,222,114,731,232,224,963
18 to 24 August 2014 (2014-W34),,,350,136,1081,368,231,1449
25 to 31 August 2014 (2014-W35),,,331,126,1412,494,238,1906
01 to 07 September 2014 (2014-W36),,,367,125,1779,619,245,2398
08 to 14 September 2014 (2014-W37),,,324,185,2103,804,252,2907
15 to 21 September 2014 (2014-W38),,241,311,204,2414,1008,259,3422
22 to 28 September 2014 (2014-W39),,193,311,136,2725,1144,266,3869
29 September to 05 October 2014 (2014-W40),,149,215,106,2940,1250,273,4190
06 to 12 October 2014 (2014-W41),,117,149,98,3089,1348,280,4437
13 to 19 October 2014 (2014-W42),,211,82,78,3171,1426,287,4597
20 to 26 October 2014 (2014-W43),,78,59,53,3230,1479,294,4709
27 October to 02 November 2014 (2014-W44),,106,64,38,3294,1517,301,4811
27 October to 09 November 2014 (2014-W45),136,103,87,36,3381,1553,308,4934
10 to 16 November 2014 (2014-W46),116,90,46,34,3427,1587,315,5014
17 to 23 November 2014 (2014-W47),78,60,40,30,3467,1617,322,5084
24 to 30 November 2014 (2014-W48),63,61,24,23,3491,1640,329,5131
01 to 07 December 2014 (2014-W49),53,72,53,72,3544,1712,336,5256
08 to 14 December 2014 (2014-W50),37,36,37,36,3581,1748,343,5329
15 to 21 December 2014 (2014-W51),23,19,23,19,3604,1767,350,5371
22 to 28 December 2014 (2014-W52),31,19,31,19,3635,1786,357,5421
29 December 2014 to 04 January 2015 (2015-W01),9,41,9,41,3644,1827,364,5471
05 to 11 January 2015 (2015-W02),8,22,8,22,3652,1849,371,5501
12 to 18 January 2015 (2015-W03),8,15,8,15,3660,1864,378,5524
19 to 25 January 2015 (2015-W04),4,10,4,10,3664,1874,385,5538
26 January to 01 February 2015 (2015-W05),5,6,5,6,3669,1880,392,5549
