FID,the_geom,ECF_Code,ECF_Name,Status,Type,Beds_Open,Beds_Plan,Plan_Open,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Comment,LabPresent,DSTR_NM,ADM1_CODE,Updated
lbr_heal_pt_unmeer_ebolacarefacilities.1,POINT (-8.234894946337647 4.676541494899709),LBR_0001,Barclayville,Under Construction,ETU,0,50,2014-12-25T00:00:00,PAE/Aspen,,4.67654149,-8.23489495,WFP - GPS,Scheduled to complete 26/12/2014 - opening date TBC,No,Grand Kru,LBR18,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.2,POINT (-10.490690797999946 7.063901776000023),LBR_0002,Bopulu,Under Construction,ETU,0,50,2014-12-25T00:00:00,PAE/Aspen,,7.06390178,-10.4906908,WFP - GPS,Scheduled to complete 25/12/2014 - opening date TBC,No,Gbarpolu,LBR45,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.3,POINT (-10.033222554436634 5.888103365665643),LBR_0003,Buchanan,Open,ETU,0,50,2014-12-06T00:00:00,IOM,,5.88810337,-10.03322255,WFP - GPS,"Location confirmed by WFP field team, status provided as open needs checking, opening 22 Dec",No,Grand Bassa,LBR09,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.4,POINT (-8.859992908999914 6.489959099000089),LBR_0026,Tappita,Under Construction,ETU,0,50,2014-12-14T00:00:00,Heart to Heart/PAE,,6.4899591,-8.85999291,WFP - GPS,,No,Nimba,LBR33,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.5,POINT (-9.033332999999857 5.016666999999984),LBR_0010,Greenville,Under Construction,ETU,0,50,2004-12-10T00:00:00,PAE/MSB,,5.498,-8.66,WFP - GPS,"Location confirmed by WFP field team, status provided as open needs checking",No,Sinoe,LBR39,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.6,POINT (-7.692520015999946 4.393410511000127),LBR_0011,Harper,Under Construction,ETU,0,50,2014-12-20T00:00:00,Partners in Health/PAE,,4.39341051,-7.69252002,WFP - GPS,"Nearer to Jackson Ville Township - needs confirmation of location, WFP status provided as open needs checking",No,Maryland,LBR27,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.7,POINT (-7.755559999999946 5.196390000000122),LBR_0006,Fish Town,Under Construction,ETU,0,50,2014-12-14T00:00:00,ARC,,5.19639,-7.876,WFP,"Construction complete, opening date TBC",No,River Gee,LBR42,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.8,POINT (-11.133826269999872 6.816054550000047),LBR_0025,Sinje,Open,ETU,50,50,2014-12-06T00:00:00,IOM,,6.81605455,-11.13382627,WFP - GPS,"Construction completed, opening date TBC, opening 24 Dec 2014 - needs checking",No,Grand Cape Mount,LBR12,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.9,POINT (-8.138060197999948 6.064957047000064),LBR_0030,Zwedru,Open,ETU,0,60,2015-01-12T00:00:00,Partners in Health/PAE,,6.06495705,-8.1380602,WFP - GPS,,No,Grand Gedeh,LBR15,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.10,POINT (-9.74996812199987 8.416583628000126),LBR_0028,Voinjama,Under Construction,ETU,0,50,2014-12-14T00:00:00,WAHA/GOAL/PAE/Aspen,,8.41658363,-9.74996812,WFP - GPS,,No,Lofa,LBR21,2014-12-15T00:00:00
