from_loc,to_loc,amount,country,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_ipums,predict_ipums_country,predict_civ,predict_kenya,predict_sen
11,12,1103,SLE,472521.038,-10.6969995,8.0851002,690510.5587,-11.2013998,7.9244599,0.529362795,865.1276239,611.1345884,7558.934863,433010.5461,14031.53447
11,13,94,SLE,472521.038,-10.6969995,8.0851002,538271.4597,-10.9485998,8.6857595,0.651225234,539.2994966,267.6192256,4536.626933,209198.0387,8647.921821
11,21,24,SLE,472521.038,-10.6969995,8.0851002,550436.786,-12.1657,9.31141,1.913352264,198.2409628,164.3782714,893.9335956,23678.49363,1285.906466
11,22,20,SLE,472521.038,-10.6969995,8.0851002,362084.2954,-12.8070002,9.18221,2.378182682,101.4247069,43.84359941,462.4446258,9108.35586,719.1795527
11,23,9,SLE,472521.038,-10.6969995,8.0851002,358521.7854,-11.3449001,9.45222,1.51287532,154.2811363,53.71629649,914.0053101,22713.51113,1599.978237
11,24,27,SLE,472521.038,-10.6969995,8.0851002,612546.8019,-12.7334995,8.7240896,2.134394458,201.0800472,211.6827652,822.8440498,21564.42614,1112.617977
11,25,13,SLE,472521.038,-10.6969995,8.0851002,472176.2751,-11.8753004,8.6617603,1.311842171,239.605632,128.0418715,1408.881684,42531.59806,2342.746413
11,31,212,SLE,472521.038,-10.6969995,8.0851002,641236.4017,-11.7143002,7.95329,1.025804388,424.754484,351.6355102,2603.880957,102156.0743,4181.631454
11,32,11,SLE,472521.038,-10.6969995,8.0851002,191754.4736,-12.2756004,7.5009198,1.683225339,69.76592957,8.339414506,476.0510232,8518.399794,989.8328455
11,33,27,SLE,472521.038,-10.6969995,8.0851002,352832.0699,-12.4265003,8.05931,1.72969308,133.4390514,47.88978203,736.0446839,16934.29887,1251.615765
11,34,37,SLE,472521.038,-10.6969995,8.0851002,316360.3377,-11.5670996,7.29498,1.175314475,170.8257254,42.58670345,1217.468198,32698.04511,2365.075664
11,41,94,SLE,472521.038,-10.6969995,8.0851002,540326.047,-13.0862999,8.3221998,2.401035739,156.4822648,138.7015006,623.4415847,14545.35768,851.44425
11,42,386,SLE,472521.038,-10.6969995,8.0851002,775375.9439,-13.2444,8.4532099,2.573859759,218.3861409,380.0441629,744.0076375,19589.68742,889.8199624
12,11,691,SLE,690510.5587,-11.2013998,7.9244599,472521.038,-10.6969995,8.0851002,0.529362795,873.9857828,384.8767562,7791.92827,432860.4319,14048.03485
12,13,369,SLE,690510.5587,-11.2013998,7.9244599,538271.4597,-10.9485998,8.6857595,0.802175119,679.7007,453.2637957,4580.782666,216669.666,7127.347413
12,21,197,SLE,690510.5587,-11.2013998,7.9244599,550436.786,-12.1657,9.31141,1.689232209,343.0142708,330.1846015,1499.182457,48489.69528,1916.015275
12,22,77,SLE,690510.5587,-11.2013998,7.9244599,362084.2954,-12.8070002,9.18221,2.039580339,180.4058282,89.38631757,810.5902231,19793.49541,1128.307215
12,23,59,SLE,690510.5587,-11.2013998,7.9244599,358521.7854,-11.3449001,9.45222,1.534484689,233.9312941,100.4971995,1240.775808,35013.0458,1862.746093
12,24,145,SLE,690510.5587,-11.2013998,7.9244599,612546.8019,-12.7334995,8.7240896,1.728217911,377.7782165,444.4670375,1574.34499,52714.78021,1933.46119
