FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ebolacarefacilities.1,POINT (-13.280407 8.424321),0,SLE_0001,Goderich,Open,ETU,SLE04010402,32,100,2014-12-14T00:00:00,EMERGENCY,DFID,8.424321,-13.280407,WAERC Confirmed Coordinates,2015-02-26T00:00:00,Yes,Sierra Leone,On school ground
sle_heal_pt_unmeer_ebolacarefacilities.2,POINT (-13.140652 8.382142),0,SLE_0002,Hastings,Open,ETU,SLE04010303,10,100,2014-12-17T00:00:00,RSLAF/KINGS/EU,DFID,8.382142,-13.140652,WAERC Confirmed Coordinates,2015-02-26T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.3,POINT (-13.125851 8.382705),0,SLE_0004,Police Training Sch-Hastings 1,Open,ETU,SLE04010303,100,126,2014-11-05T00:00:00,MOH / RSLAF,GOSL,8.382705,-13.125851,WAERC Confirmed Coordinates,2015-02-26T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.4,POINT (-13.086371 8.257095),0,SLE_0005,Kerry Town STC,Open,ETU,SLE04010406,100,100,2014-11-05T00:00:00,Save the Children/PHE,DFID,8.257095,-13.086371,WAERC Confirmed Coordinates,2015-02-26T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.5,POINT (-12.76239 8.77665),0,SLE_0006,Port Loko ETU,Open,ETU,SLE02040726,20,20,2014-12-14T00:00:00,GOAL/PHE,DFID,8.77665,-12.76239,CDC Checked Coordinate,2015-02-23T00:00:00,Yes,Sierra Leone,"Facility is both ETC & EHU. Bed Capacity includes 16 Suspect, 16 Probable and 20 EVD Confirmed"
sle_heal_pt_unmeer_ebolacarefacilities.6,POINT (-12.57656 8.69854),0,SLE_0007,Lunsar ETU,Open,ETU,SLE02040811,20,20,2014-12-01T00:00:00,IMC,DFID/ECHO/OFDA,8.69854,-12.57656,CDC Checked Coordinate,2015-02-23T00:00:00,No,Sierra Leone,"Facility is both ETC & EHU. Bed Capacity includes 16 Suspect, 16 Probable and 20 EVD Confirmed"
sle_heal_pt_unmeer_ebolacarefacilities.7,POINT (-12.41256334 8.1778929),0,SLE_0008,Moyamba ETU,Open,ETU,SLE03030606,30,100,2014-12-17T00:00:00,MDM/DTRA,DFID,8.1778929,-12.41256334,UNMEER Checked coordinate,2015-02-25T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.8,POINT (-13.14954849 8.386860908),0,SLE_0010,"China-SL Friendship Hospital ETU, Jui",Open,ETU,SLE04010303,5,22,2014-11-05T00:00:00,Chinese CDC,China,8.38686091,-13.14954849,WAERC Confirmed Coordinates,2015-02-26T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.9,POINT (-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000),0,SLE_0012,Kailahun MSF,Closed,ETU,SLE01010806,50,100,2014-07-01T00:00:00,MSF/PHA-Canada,Canadian Outfit,0,0,,2015-02-23T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.10,POINT (-11.1156 8.005088),0,SLE_0013,Rural Kenema Field Hospital (IFRC),Open,ETU,SLE01021208,60,60,2014-11-05T00:00:00,IFRC,IFRC,8.005088,-11.1156,British Red Cross GPS,2014-11-26T00:00:00,No,Sierra Leone,
